Tenor,Spot,1 Mo (P),6 Mo (P),1 year,1.5 year,2 year
1 Mo,0.23973,0.23944,0.20286,0.24468,0.24741,0.34224
2 Mo,0.23961,0.22815,0.20505,0.25238,0.25312,0.34684
3 Mo,0.232,0.24283,0.20398,0.24802,0.25589,0.3393
6 Mo,0.23178,0.22563,0.20681,1.29152,1.30326,1.31498
9 Mo,0.22252,0.21867,0.22054,1.29152,1.30326,1.31498
1 Yr,0.2193,0.21971,0.22761,0.24468,0.24741,0.34224
2 Yr,0.2363,0.24085,0.26709,0.25238,0.25312,0.34684
3 Yr,0.28405,0.29273,0.34024,0.24802,0.25589,0.3393
4 Yr,0.3655,0.37661,0.43955,0.52949,0.63186,0.74668
5 Yr,0.467,0.4801,0.5503,1.42169,1.44287,1.46405
7 Yr,0.67731,0.69083,0.7601,1.29152,1.30326,1.31498
9 Yr,0.856,0.86858,0.93172,1.29152,1.30326,1.31498
10 Yr,0.93175,0.94327,1.00311,0.24468,0.24741,0.34224
12 Yr,1.05495,1.06477,1.1136,0.24468,0.24741,0.34224
15 Yr,1.17966,1.18764,1.2276,0.24468,0.24741,0.34224
20 Yr,1.301,1.307,1.33673,0.25238,0.25312,0.34684
30 Yr,1.3789,1.38239,1.39989,0.24802,0.25589,0.3393
50 Yr,1.26762,1.26957,1.27931,1.29152,1.30326,1.31498
